epoch,train_loss,val_loss,val_accuracy,val_macro_f1
0,0.5473032170931498,0.36675951147079466,0.869,0.8671516953831626
1,0.3948345701606185,0.34262974468866986,0.8751666666666666,0.8739731216436255
2,0.3564938613132194,0.30671707610289256,0.8896666666666667,0.8897112371121823
3,0.3335325496373353,0.32265285634994506,0.8846666666666667,0.8848113522908813
4,0.3175851430274822,0.30415821774800617,0.8875,0.8858813576304119
5,0.3031986571903582,0.2998070966800054,0.8908333333333334,0.8901867981672658
6,0.29146475006032874,0.29530429287751514,0.8925,0.8931151977728705
7,0.28221367362693506,0.2863448401292165,0.8926666666666667,0.8915838669177452
8,0.2736849290000068,0.2840136700073878,0.8961666666666667,0.8950829659756077
9,0.2593952835003535,0.2886417691310247,0.8938333333333334,0.8930704355481399
10,0.2563823301350629,0.2877479700644811,0.8975,0.8978654555454126
11,0.24541106504864163,0.2906445300976435,0.8966666666666666,0.8967473396687247
12,0.24016718358463712,0.2924532213608424,0.8978333333333334,0.8970021668096424
13,0.23540652528957084,0.28077474248409273,0.901,0.9005001798722153
14,0.22870544769145823,0.27496179326375325,0.9018333333333334,0.9013448171619952
15,0.22418819170969503,0.2784409085114797,0.8995,0.899290669017619
16,0.21806990800963508,0.2823426764011383,0.905,0.9048404460698182
17,0.21187207777411848,0.28752200384934745,0.9011666666666667,0.9012999064847879
18,0.2088343374773308,0.2794905770222346,0.9048333333333334,0.9045790222663997
19,0.20216385444888363,0.28424935245513916,0.9031666666666667,0.9004899754190344
