epoch,train_loss,val_loss,val_accuracy,val_macro_f1
0,0.5740319141281975,0.4372509473959605,0.8515,0.8499023156733141
1,0.45398569539741235,0.432366415421168,0.8501666666666666,0.8472370029661047
2,0.4342811176865189,0.4048717776139577,0.862,0.8619922741472393
3,0.4213672282165951,0.41092406058311465,0.8566666666666667,0.855781276715269
4,0.4149627866215176,0.39804087233543395,0.8635,0.8619317982706202
5,0.4087149100921772,0.3983149319489797,0.8623333333333333,0.8618048543994231
6,0.4056385217331074,0.4079681442578634,0.8595,0.8602671983072343
7,0.3993144467495106,0.39401415689786273,0.8651666666666666,0.8631154389237776
8,0.3981299304344036,0.3932366694609324,0.8648333333333333,0.8641346709449446
9,0.39430078954166836,0.39930866567293805,0.8615,0.8602005826982303
10,0.39468345506102953,0.4061795437335968,0.8591666666666666,0.8601615741197239
11,0.39167227281464473,0.38862612915039063,0.8653333333333333,0.8657907776173019
12,0.38871461032055044,0.4039230298201243,0.8593333333333333,0.8585167204843414
13,0.38737306646947506,0.39247077552477516,0.8655,0.8642625750446877
14,0.38673586967256335,0.3907833449045817,0.8631666666666666,0.8626407273069174
15,0.38556328757603964,0.400271503051122,0.8601666666666666,0.8577280351073332
16,0.3854319430545524,0.4039283625284831,0.8573333333333333,0.8571688331661861
